id,name,phone,address
bd051ae8,sarveash,6355262672,fgdhs
bb0af1f1,koushik,6546546567,hgjfdgg
fa6306e2,shaam AS,764653556778,salem
3dfba389,pravina,7655637733,salem
9941ac84,adhi,87578587,madurai
4ae3cafc,niteesh,7545678976,salem
931c35ea,geetha,9047288513,salem
e0ed9805,karim,4868665765,thirnavali
05c71a33,venket,76785764435,salem
510d75ae,prakash,1234567890,fgfdg
0b4f5f35,nick,8474746372,kelambakam
ab884fd2,john,8364637722,porur
4787d6f6,shanky,8734824844,anna nagar
26dad749,abhi,7466383639,chennai
e94f1302,jai,1234567890,ambathur nadar sangam
